Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Porsche Taycan Turbo Cross Turismo,83.7,250,425,197,1050,126800.0,3
Toyota PROACE Shuttle L 75 kWh,68.0,130,260,262,280,50830.0,1
Opel Zafira-e Life M 75 kWh,68.0,130,265,257,290,50830.0,1
Opel Vivaro-e Combi L 50 kWh,46.3,130,180,257,290,37835.0,1
Toyota PROACE Shuttle L 50 kWh,46.3,130,180,257,290,50830.0,1
Citroen e-Jumpy Combi XL 75 kWh,68.0,130,260,262,280,50830.0,1
Fiat E-Ulysse L2 50 kWh,46.3,130,185,250,290,50830.0,1
Peugeot e-Expert Combi Standard 50 kWh,46.3,130,185,250,290,50830.0,1
Peugeot e-Traveller Long 50 kWh,46.3,130,185,250,290,43625.0,1
Citroen e-Jumpy Combi XL 50 kWh,46.3,130,180,257,290,50830.0,1
Peugeot e-Expert Combi Long 50 kWh,46.3,130,185,250,290,50830.0,1
